ID,date,lat,long
1,2/25/04,10.165308,-86.05366
1,2/26/04,10.3963,-86.52889
1,2/27/04,10.70977,-87.37186
1,2/28/04,11.13467,-87.92339
1,2/29/04,11.24006,-88.02517
1,3/1/04,11.27864,-88.42247
1,3/2/04,11.20585,-89.09554
1,3/3/04,11.02193,-89.60339
1,3/4/04,10.96226,-89.78645
1,3/5/04,10.66427,-90.07903
1,3/6/04,10.31102,-90.24649
1,3/7/04,9.912101,-90.48377
1,3/8/04,9.696595,-90.72584
1,3/9/04,9.656289,-90.72878
1,3/10/04,9.375928,-91.0812
1,3/11/04,9.16343,-91.46652
1,3/12/04,9.037249,-91.7028
1,3/13/04,8.767858,-91.9092
1,3/14/04,8.463768,-92.26349
1,3/15/04,8.228515,-92.59118
1,3/16/04,7.774684,-92.75688
1,3/17/04,7.461657,-92.70947
1,3/18/04,7.321873,-92.54853
1,3/19/04,7.057924,-92.28222
1,3/20/04,6.705663,-92.1151
1,3/21/04,6.461295,-92.06202
1,3/22/04,6.158695,-91.82397
1,3/23/04,5.831206,-91.65226
1,3/24/04,5.475131,-91.52242
1,3/25/04,5.202757,-91.46233
1,3/26/04,4.947536,-91.17593
1,3/27/04,4.469132,-90.97664
1,3/28/04,4.188354,-91.09908
1,3/29/04,3.966592,-91.29317
1,3/30/04,3.651849,-91.6659
1,3/31/04,3.545114,-91.86983
1,4/1/04,3.159093,-92.41488
1,4/2/04,2.872411,-92.8076
1,4/3/04,2.684012,-93.15672
1,4/4/04,2.518917,-93.54161
1,4/5/04,2.252698,-93.93346
1,4/6/04,2.030831,-94.19408
1,4/7/04,1.851595,-94.38317
1,4/8/04,1.554425,-94.74516
1,4/9/04,1.1928095,-95.01813
1,4/10/04,0.8573191,-95.34643
1,4/11/04,0.6705936,-95.67586
1,4/12/04,0.5344344,-95.96675
1,4/13/04,0.4259464,-96.24076
1,4/14/04,0.334084933,-96.4504
1,4/15/04,0.246556731,-96.61217
1,4/16/04,0.139823523,-96.73764
1,4/17/04,0.006501689,-96.83369
1,4/18/04,-0.17838023,-96.90307
1,4/19/04,-0.48581702,-96.98574
1,4/20/04,-0.8688164,-97.07822
1,4/21/04,-1.2767617,-97.16994
1,4/22/04,-1.66856,-97.25317
1,4/23/04,-1.999801,-97.32432
1,4/24/04,-2.205352,-97.36745
1,4/25/04,-2.325519,-97.37691
1,4/26/04,-2.536403,-97.5727
1,4/27/04,-2.810731,-97.89199
1,4/28/04,-3.131642,-98.27654
1,4/29/04,-3.442814,-98.67351
1,4/30/04,-3.612564,-99.0832
1,5/1/04,-3.774947,-99.50375
1,5/2/04,-4.268202,-100.00124
1,5/3/04,-4.554315,-100.3845
1,5/4/04,-4.780833,-100.786
1,5/5/04,-4.972803,-101.1761
