x,y,species_0 cloglog values
1.0,1.0,0.03743331
2.0,2.0,1.17559575E-5
3.0,3.0,0.27071178
4.0,4.0,0.0093800705
5.0,5.0,9.041105E-5
6.0,6.0,0.5926846
7.0,7.0,0.0014044245
8.0,8.0,9.264582E-8
9.0,9.0,0.0034241711
10.0,10.0,0.55153155
11.0,11.0,0.47287813
12.0,12.0,0.017346004
13.0,13.0,1.7687971E-4
14.0,14.0,0.14789687
15.0,15.0,0.004780277
16.0,16.0,5.837039E-7
17.0,17.0,0.13554244
18.0,18.0,0.0034905013
19.0,19.0,0.54413116
20.0,20.0,0.28852186
21.0,21.0,1.5010906E-4
22.0,22.0,0.19415314
23.0,23.0,0.010156635
24.0,24.0,4.7707302E-4
25.0,25.0,0.31031567
26.0,26.0,0.146265
27.0,27.0,0.5468026
28.0,28.0,0.006472114
29.0,29.0,5.5120146E-4
30.0,30.0,9.368235E-6
31.0,31.0,0.0499233
32.0,32.0,0.9309591
33.0,33.0,4.7292137E-6
34.0,34.0,1.1636258E-6
35.0,35.0,0.48563755
36.0,36.0,3.064949E-5
37.0,37.0,4.9642364E-7
38.0,38.0,0.7279243
39.0,39.0,6.3509888E-6
40.0,40.0,4.2640988E-4
41.0,41.0,3.653274E-5
42.0,42.0,0.7411308
43.0,43.0,7.734789E-4
44.0,44.0,0.03185617
45.0,45.0,5.865651E-4
46.0,46.0,0.79202175
47.0,47.0,0.23734835
48.0,48.0,9.3477087E-7
49.0,49.0,0.5287075
50.0,50.0,0.12902571
51.0,51.0,0.39424545
52.0,52.0,8.7166746E-4
53.0,53.0,0.49794382
54.0,54.0,0.1265815
55.0,55.0,6.2621897E-4
56.0,56.0,1.2180356E-5
57.0,57.0,0.11125388
58.0,58.0,0.0021795258
59.0,59.0,0.31437156
60.0,60.0,0.8283823
61.0,61.0,0.39549452
62.0,62.0,2.4189062E-4
63.0,63.0,4.6949634E-7
64.0,64.0,0.014780978
65.0,65.0,0.64877015
66.0,66.0,0.73400366
67.0,67.0,0.028315034
68.0,68.0,0.05414179
69.0,69.0,4.671395E-7
70.0,70.0,0.011926915
71.0,71.0,0.13340728
72.0,72.0,9.5749965E-6
73.0,73.0,7.37564E-6
74.0,74.0,0.53559655
75.0,75.0,0.4613477
76.0,76.0,8.695805E-7
77.0,77.0,0.020804616
78.0,78.0,0.95281905
79.0,79.0,0.00417006
80.0,80.0,0.7949046
81.0,81.0,0.0848529
82.0,82.0,5.0916384E-7
83.0,83.0,0.3875615
84.0,84.0,0.0071147713
85.0,85.0,4.9535767E-5
86.0,86.0,3.284844E-4
87.0,87.0,0.035347853
88.0,88.0,2.3517875E-6
89.0,89.0,1.3882784E-6
90.0,90.0,0.45370656
91.0,91.0,0.3653923
92.0,92.0,0.026935663
93.0,93.0,0.48452988
94.0,94.0,0.4908375
95.0,95.0,0.008613704
96.0,96.0,0.020361146
