x,y,species_3 cloglog values
1.0,1.0,0.016713291
2.0,2.0,1.7342869E-5
3.0,3.0,0.02492165
4.0,4.0,0.009252631
5.0,5.0,2.1633034E-5
6.0,6.0,0.6438695
7.0,7.0,6.7948824E-4
8.0,8.0,4.6335418E-7
9.0,9.0,4.889059E-4
10.0,10.0,0.4114968
11.0,11.0,0.4033153
12.0,12.0,0.00871107
13.0,13.0,3.8561448E-5
14.0,14.0,0.010877872
15.0,15.0,0.006749235
16.0,16.0,1.9669276E-6
17.0,17.0,0.16546528
18.0,18.0,6.3594093E-4
19.0,19.0,0.3848997
20.0,20.0,0.34886974
21.0,21.0,3.952015E-5
22.0,22.0,0.1301996
23.0,23.0,0.006692063
24.0,24.0,2.7272155E-4
25.0,25.0,0.16561806
26.0,26.0,0.117872305
27.0,27.0,0.37407008
28.0,28.0,0.0055945283
29.0,29.0,2.0506945E-4
30.0,30.0,4.129725E-6
31.0,31.0,0.047034524
32.0,32.0,0.9290329
33.0,33.0,1.7464698E-5
34.0,34.0,2.8364582E-6
35.0,35.0,0.58336717
36.0,36.0,2.0753212E-5
37.0,37.0,2.2786717E-6
38.0,38.0,0.67573744
39.0,39.0,1.323268E-5
40.0,40.0,3.4097137E-4
41.0,41.0,3.2579726E-5
42.0,42.0,0.71526355
43.0,43.0,0.001015759
44.0,44.0,0.011681472
45.0,45.0,3.7264795E-4
46.0,46.0,0.7844104
47.0,47.0,0.28599456
48.0,48.0,4.780736E-7
49.0,49.0,0.43342155
50.0,50.0,0.112801455
51.0,51.0,0.35193688
52.0,52.0,8.9946605E-4
53.0,53.0,0.37154692
54.0,54.0,0.07227567
55.0,55.0,2.3434959E-4
56.0,56.0,2.240318E-5
57.0,57.0,0.011236482
58.0,58.0,0.0014554501
59.0,59.0,0.2669183
60.0,60.0,0.77509767
61.0,61.0,0.26631474
62.0,62.0,7.878543E-4
63.0,63.0,1.4281622E-6
64.0,64.0,0.012766186
65.0,65.0,0.43748137
66.0,66.0,0.764932
67.0,67.0,0.018018758
68.0,68.0,0.046228692
69.0,69.0,2.196503E-6
70.0,70.0,0.01291192
71.0,71.0,0.15727884
72.0,72.0,3.7903992E-5
73.0,73.0,1.4041689E-5
74.0,74.0,0.41427952
75.0,75.0,0.35455185
76.0,76.0,1.2372997E-6
77.0,77.0,0.019044176
78.0,78.0,0.94387126
79.0,79.0,8.003717E-4
80.0,80.0,0.8234419
81.0,81.0,0.05933184
82.0,82.0,7.486054E-7
83.0,83.0,0.33938438
84.0,84.0,0.002789772
85.0,85.0,2.6768268E-4
86.0,86.0,1.1564787E-4
87.0,87.0,0.038910575
88.0,88.0,4.358341E-6
89.0,89.0,1.4567711E-5
90.0,90.0,0.22355033
91.0,91.0,0.3503099
92.0,92.0,0.027635135
93.0,93.0,0.4785059
94.0,94.0,0.5301436
95.0,95.0,0.008700709
96.0,96.0,0.0053793434
97.0,97.0,0.24292342
98.0,98.0,3.226547E-5
99.0,99.0,0.4737258
100.0,100.0,2.9951177E-4
101.0,101.0,0.0017356988
102.0,102.0,0.4457679
103.0,103.0,0.35905182
104.0,104.0,0.11276298
105.0,105.0,0.4259202
106.0,106.0,0.025913645
107.0,107.0,0.015596778
108.0,108.0,6.924116E-4
