x,y,species_2 cloglog values
1.0,1.0,0.0062236385
2.0,2.0,3.6434674E-6
3.0,3.0,0.31924307
4.0,4.0,0.009521095
5.0,5.0,1.1876449E-5
6.0,6.0,0.5257488
7.0,7.0,0.0018014726
8.0,8.0,1.1474896E-7
9.0,9.0,6.547149E-4
10.0,10.0,0.10424651
11.0,11.0,0.2179725
12.0,12.0,0.003749439
13.0,13.0,2.3339922E-5
14.0,14.0,0.16347532
15.0,15.0,0.012386979
16.0,16.0,1.8954745E-7
17.0,17.0,0.030939229
18.0,18.0,9.911928E-4
19.0,19.0,0.47154012
20.0,20.0,0.40617555
21.0,21.0,2.227252E-5
22.0,22.0,0.121281594
23.0,23.0,0.0018348326
24.0,24.0,3.2498725E-4
25.0,25.0,0.23812874
26.0,26.0,0.0886507
27.0,27.0,0.47408432
28.0,28.0,0.010607131
29.0,29.0,1.1630225E-5
30.0,30.0,1.4891752E-6
31.0,31.0,0.0122766625
32.0,32.0,0.9235845
33.0,33.0,2.4366032E-6
34.0,34.0,2.3446813E-7
35.0,35.0,0.5939216
36.0,36.0,8.9332764E-7
37.0,37.0,2.711396E-7
38.0,38.0,0.7420957
39.0,39.0,1.47997325E-5
40.0,40.0,2.0757364E-4
41.0,41.0,2.4254987E-5
42.0,42.0,0.8026736
43.0,43.0,1.6720667E-4
44.0,44.0,0.0139967175
45.0,45.0,1.5415484E-4
46.0,46.0,0.83143926
47.0,47.0,0.18034351
48.0,48.0,1.3297019E-8
49.0,49.0,0.5533711
50.0,50.0,0.11227498
51.0,51.0,0.38676193
52.0,52.0,6.848746E-4
53.0,53.0,0.43123692
54.0,54.0,0.113107115
55.0,55.0,1.3440651E-4
56.0,56.0,3.2116644E-5
57.0,57.0,0.19986485
58.0,58.0,7.1839476E-4
59.0,59.0,0.2902156
60.0,60.0,0.8656946
61.0,61.0,0.14601769
62.0,62.0,0.001492912
63.0,63.0,1.11966784E-7
64.0,64.0,0.014688965
65.0,65.0,0.5764401
66.0,66.0,0.6504734
67.0,67.0,0.011296714
68.0,68.0,0.043658976
69.0,69.0,3.2800745E-7
70.0,70.0,0.025955062
71.0,71.0,0.15816517
72.0,72.0,1.0227259E-5
73.0,73.0,1.9217641E-5
74.0,74.0,0.57656145
75.0,75.0,0.43503645
76.0,76.0,1.4331228E-7
77.0,77.0,0.02044879
78.0,78.0,0.69623476
79.0,79.0,3.8597366E-4
80.0,80.0,0.7983893
81.0,81.0,0.06329871
82.0,82.0,3.7587424E-7
83.0,83.0,0.14269139
84.0,84.0,0.009748623
85.0,85.0,6.741605E-5
86.0,86.0,4.695576E-6
87.0,87.0,0.030939436
88.0,88.0,2.7204223E-6
89.0,89.0,2.5594882E-6
90.0,90.0,0.26067734
91.0,91.0,0.36888993
92.0,92.0,0.04013826
93.0,93.0,0.5110427
94.0,94.0,0.5614785
95.0,95.0,0.012754562
96.0,96.0,0.0011726336
97.0,97.0,0.2683914
98.0,98.0,1.6249434E-6
99.0,99.0,0.114749335
100.0,100.0,1.963283E-4
101.0,101.0,4.3679995E-4
102.0,102.0,0.51776236
103.0,103.0,0.32991976
104.0,104.0,0.12265003
105.0,105.0,0.504574
106.0,106.0,0.034522228
107.0,107.0,0.0062660035
108.0,108.0,2.1621767E-4
109.0,109.0,0.6252818
110.0,110.0,0.042645354
111.0,111.0,1.1613237E-6
112.0,112.0,0.38780096
113.0,113.0,0.019773275
114.0,114.0,0.5461874
115.0,115.0,1.5988328E-5
116.0,116.0,0.0379431
117.0,117.0,0.02069495
118.0,118.0,0.020177692
119.0,119.0,0.5981844
120.0,120.0,0.23287728
121.0,121.0,0.08348731
122.0,122.0,0.063653514
123.0,123.0,4.0379466E-4
124.0,124.0,0.8208414
125.0,125.0,7.251255E-7
126.0,126.0,6.856108E-4
127.0,127.0,6.399715E-7
128.0,128.0,0.57376975
129.0,129.0,0.0016512764
130.0,130.0,5.4285996E-5
131.0,131.0,0.5184414
132.0,132.0,2.4605548E-4
133.0,133.0,0.5993657
134.0,134.0,0.41259903
135.0,135.0,0.99256575
136.0,136.0,0.0073051006
137.0,137.0,4.914273E-5
138.0,138.0,2.996084E-6
139.0,139.0,0.09873741
140.0,140.0,0.53802127
141.0,141.0,1.8471135E-5
142.0,142.0,1.1233974E-8
143.0,143.0,3.541676E-6
144.0,144.0,3.7435886E-6
145.0,145.0,1.9737485E-5
146.0,146.0,0.16138192
147.0,147.0,2.0236407E-6
148.0,148.0,9.741223E-5
149.0,149.0,6.2658023E-6
150.0,150.0,5.210393E-4
151.0,151.0,1.0819548E-6
152.0,152.0,3.4623416E-5
153.0,153.0,6.743862E-6
154.0,154.0,6.111096E-4
155.0,155.0,0.50145686
156.0,156.0,0.15204176
157.0,157.0,0.36214855
158.0,158.0,0.7624807
159.0,159.0,0.13790558
160.0,160.0,0.0029274407
161.0,161.0,0.37318555
162.0,162.0,0.9791158
163.0,163.0,0.7168314
164.0,164.0,1.2154845E-4
165.0,165.0,0.30404624
166.0,166.0,4.897013E-4
167.0,167.0,0.086931854
168.0,168.0,0.43104833
169.0,169.0,6.107529E-7
170.0,170.0,4.8974653E-6
171.0,171.0,0.03798925
172.0,172.0,0.05120151
173.0,173.0,0.90720886
174.0,174.0,7.2642823E-4
175.0,175.0,0.005688026
176.0,176.0,0.31024626
177.0,177.0,0.0013968957
178.0,178.0,0.00665102
179.0,179.0,2.7472709E-8
180.0,180.0,0.695611
181.0,181.0,0.6209493
182.0,182.0,0.5516251
183.0,183.0,0.0019706972
184.0,184.0,1.5876452E-5
185.0,185.0,0.0058474676
186.0,186.0,0.095828176
187.0,187.0,0.0037527801
188.0,188.0,1.0460679E-4
189.0,189.0,0.11970485
190.0,190.0,3.724961E-4
191.0,191.0,0.08805874
192.0,192.0,4.0986875E-4
193.0,193.0,0.5206868
194.0,194.0,0.0030901663
195.0,195.0,0.54502696
196.0,196.0,0.10880959
197.0,197.0,7.548688E-5
198.0,198.0,5.0853355E-6
199.0,199.0,0.007536777
200.0,200.0,0.20795535
201.0,201.0,0.02567909
202.0,202.0,2.2668792E-4
203.0,203.0,0.50525945
204.0,204.0,2.103489E-6
205.0,205.0,8.6387474E-4
206.0,206.0,1.4396375E-6
207.0,207.0,1.0197951E-6
208.0,208.0,3.1653724E-6
209.0,209.0,0.020900639
210.0,210.0,0.029319087
211.0,211.0,0.49241483
212.0,212.0,0.62727517
213.0,213.0,6.87762E-4
214.0,214.0,0.06023738
215.0,215.0,0.9646405
216.0,216.0,3.447341E-8
217.0,217.0,0.43238965
218.0,218.0,0.090558015
219.0,219.0,0.53667665
220.0,220.0,0.07300172
221.0,221.0,0.036460698
222.0,222.0,2.030629E-8
223.0,223.0,0.23910376
224.0,224.0,5.9270047E-8
225.0,225.0,0.0057196314
226.0,226.0,0.050689336
227.0,227.0,0.03395438
228.0,228.0,0.5297365
229.0,229.0,7.941913E-6
230.0,230.0,0.50082135
231.0,231.0,0.04780175
232.0,232.0,0.110000044
233.0,233.0,1.0255426E-5
234.0,234.0,0.26922455
235.0,235.0,0.058002207
236.0,236.0,0.4817694
237.0,237.0,0.051052827
238.0,238.0,0.072939835
239.0,239.0,0.01644901
240.0,240.0,0.30813077
241.0,241.0,1.0177942E-7
242.0,242.0,0.47504485
243.0,243.0,0.6387307
244.0,244.0,0.37807712
245.0,245.0,0.6916653
246.0,246.0,3.0164054E-4
247.0,247.0,0.5142075
248.0,248.0,1.0041597E-6
249.0,249.0,0.0010833512
250.0,250.0,0.023292836
251.0,251.0,0.25683165
252.0,252.0,0.0029276377
253.0,253.0,4.3832394E-4
254.0,254.0,0.5825683
255.0,255.0,1.5567204E-5
256.0,256.0,0.012693851
257.0,257.0,0.5674815
258.0,258.0,2.8936418E-8
259.0,259.0,6.6806633E-6
260.0,260.0,0.30888584
261.0,261.0,4.5141127E-4
262.0,262.0,0.40732852
263.0,263.0,0.039498117
264.0,264.0,0.012669247
265.0,265.0,0.12876569
266.0,266.0,7.60368E-5
267.0,267.0,7.68325E-5
268.0,268.0,0.029608518
269.0,269.0,0.15216722
270.0,270.0,3.2152937E-5
271.0,271.0,0.75404537
272.0,272.0,0.57706887
273.0,273.0,1.4140493E-6
274.0,274.0,0.30701393
275.0,275.0,0.29896867
276.0,276.0,0.0024870834
277.0,277.0,0.3043765
278.0,278.0,0.099226
279.0,279.0,0.6251197
