x,y,species_1 cloglog values
1.0,1.0,0.0107812425
2.0,2.0,1.6966971E-5
3.0,3.0,0.251479
4.0,4.0,0.016524633
5.0,5.0,4.2409098E-5
6.0,6.0,0.6243021
7.0,7.0,0.0016160553
8.0,8.0,2.8394707E-6
9.0,9.0,0.0016014948
10.0,10.0,0.3975891
11.0,11.0,0.40376848
12.0,12.0,0.0036845263
13.0,13.0,1.2667771E-4
14.0,14.0,0.15979512
15.0,15.0,0.012380476
16.0,16.0,5.9885574E-6
17.0,17.0,0.19560745
18.0,18.0,0.0018799605
19.0,19.0,0.4964239
20.0,20.0,0.3851141
21.0,21.0,6.886006E-5
22.0,22.0,0.20126991
23.0,23.0,0.004013373
24.0,24.0,5.865685E-4
25.0,25.0,0.10370837
26.0,26.0,0.11821405
27.0,27.0,0.4842315
28.0,28.0,0.008313984
29.0,29.0,6.9322756E-5
30.0,30.0,3.6734189E-6
31.0,31.0,0.07172122
32.0,32.0,0.8913094
33.0,33.0,2.0864452E-5
34.0,34.0,5.345685E-6
35.0,35.0,0.70491964
36.0,36.0,8.582378E-6
37.0,37.0,3.7471063E-6
38.0,38.0,0.6561911
39.0,39.0,3.4768615E-5
40.0,40.0,5.359777E-4
41.0,41.0,5.0402876E-5
42.0,42.0,0.80702466
43.0,43.0,7.134343E-4
44.0,44.0,0.016573213
45.0,45.0,4.94157E-4
46.0,46.0,0.76754516
47.0,47.0,0.26201147
48.0,48.0,8.7124596E-7
49.0,49.0,0.53714454
50.0,50.0,0.13821621
51.0,51.0,0.33971033
52.0,52.0,0.0012152164
53.0,53.0,0.47125745
54.0,54.0,0.06590263
55.0,55.0,4.889334E-4
56.0,56.0,6.498291E-5
57.0,57.0,0.16000438
58.0,58.0,7.998976E-4
59.0,59.0,0.22464257
60.0,60.0,0.8211964
61.0,61.0,0.109445326
62.0,62.0,0.001994012
63.0,63.0,3.903658E-6
64.0,64.0,0.02299726
65.0,65.0,0.35336885
66.0,66.0,0.8059729
67.0,67.0,0.037145026
68.0,68.0,0.1070264
69.0,69.0,4.699406E-6
70.0,70.0,0.02526031
71.0,71.0,0.2132905
72.0,72.0,4.52706E-5
73.0,73.0,2.998982E-5
74.0,74.0,0.48531106
75.0,75.0,0.52948755
76.0,76.0,8.904252E-7
77.0,77.0,0.023502417
78.0,78.0,0.9318395
79.0,79.0,4.862383E-4
80.0,80.0,0.86069953
81.0,81.0,0.04535646
82.0,82.0,2.5267884E-6
83.0,83.0,0.18655439
84.0,84.0,0.007349142
85.0,85.0,1.4714956E-4
86.0,86.0,2.7144906E-5
87.0,87.0,0.076997094
88.0,88.0,1.4520164E-5
89.0,89.0,1.2103155E-5
90.0,90.0,0.27677226
91.0,91.0,0.40841228
92.0,92.0,0.053413436
93.0,93.0,0.616203
94.0,94.0,0.49023503
95.0,95.0,0.010505116
96.0,96.0,0.0014359454
97.0,97.0,0.28020307
98.0,98.0,1.5341931E-5
99.0,99.0,0.25028512
100.0,100.0,2.9913496E-4
101.0,101.0,5.081242E-4
102.0,102.0,0.5050681
103.0,103.0,0.3918451
104.0,104.0,0.14672641
105.0,105.0,0.5948891
106.0,106.0,0.019632498
107.0,107.0,0.03605722
108.0,108.0,4.5887142E-4
109.0,109.0,0.71941787
