species,lon,lat
krill,-171.06917,62.19717
krill,-175.939,62.21517
krill,-167.814,59.454
krill,-172.31084,62.638
krill,-177.72867,61.04567
krill,-163.02251,57.89367
krill,-165.31067,59.4265
krill,-171.01784,56.611
krill,-172.05034,55.69167
krill,-169.3685,55.41
krill,-173.51283,56.664
krill,-170.89684,55.4885
krill,-175.96333,58.88334
krill,-170.16516,55.72917
krill,-172.84866,56.00917
krill,-174.38333,58.51333
krill,-171.31767,55.931
krill,-171.632,55.25633
krill,-172.54617,56.693
krill,-172.11934,56.252
krill,-163.422,58.68283
krill,-166.64999,59.66483
krill,-167.79883,57.99267
krill,-171.64301,58.29483
krill,-165.99117,57.50617
krill,-171.29666,62.65633
krill,-163.82851,56.94383
krill,-167.69583,55.6365
krill,-166.8985,55.85
krill,-179.28301,59.8965
krill,-177.62683,59.9045
krill,-171.4605,57.05033
krill,-175.423,59.23983
krill,-170.10783,55.17617
krill,-165.95616,56.976
krill,-173.53033,62.201
krill,-174.705,62.42133
krill,-177.79633,51.87517
krill,-175.32834,52.165
krill,-161.2325,56.79833
krill,-166.23384,54.70867
krill,-164.142,55.6205
krill,-164.18517,56.185
krill,-167.19583,58.37467
krill,-163.36667,57.41667
krill,-164.03334,59.3
krill,-164.18333,57.58333
krill,-169.32333,59.98717
krill,-167.10916,57.03167
krill,-159.03334,57.7
krill,-161.45334,57.97167
krill,-175.465,60.62683
krill,-175.07983,61.3245
krill,-174.34717,59.70917
krill,-168.284,58.71684
krill,-172.58917,62.04967
krill,-169.554,54.028
krill,-160.56583,58.15617
krill,-161.58667,56.13217
krill,-162.151,57.6755
krill,-158.05733,57.7545
krill,-162.188,58.25283
krill,-158.64317,57.29667
krill,-161.41,58.48
krill,-173.65367,60.74417
krill,-164.68233,54.266
krill,-160.43433,57.0525
krill,-162.004,56.57
krill,-160.00034,56.60833
krill,-159.4435,57.0645
krill,-159.87784,57.5085
krill,-162.24966,55.78333
krill,-174.63001,52.336
krill,-163.41383,56.4235
krill,-168.6685,53.3745
krill,-165.49733,54.93217
krill,-166.991,54.45783
krill,-168.75067,54.9655
krill,-163.37183,55.86117
krill,-169.10033,56.64967
krill,-167.03383,55.00583
krill,-169.98866,57.53183
krill,-169.17317,57.20817
krill,-165.72934,55.71033
krill,-162.94983,55.429
krill,-162.4545,57.00033
krill,-164.95799,55.94483
krill,-165.96834,58.98583
krill,-169.94,59.64983
krill,-178.17816,60.6435
krill,-172.1525,59.19633
krill,-174.342,60.2055
krill,-176.31599,59.318
krill,-173.74001,61.40933
krill,-165.31583,56.4195
krill,-168.00366,59.90083
krill,-174.37183,61.94667
krill,-175.19234,59.9015
krill,-168.48933,61.74967
krill,-176.40384,59.897
krill,-166.09883,56.14067
krill,-167.78467,54.76733
krill,-170.58833,56.17484
krill,-170.71533,57.292
krill,-170.28799,56.85233
krill,-168.84383,55.87183
krill,-168.08833,56.10733
krill,-168.41267,55.42717
krill,-165.252,57.96867
krill,-167.08701,60.3405
krill,-173.0145,58.9755
krill,-171.4865,61.00717
krill,-173.48584,58.01933
krill,-170.00417,60.35567
krill,-173.3085,57.33367
krill,-171.12466,58.67467
krill,-176.97766,61.3415
krill,-169.8615,61.849
krill,-174.00034,63.01617
krill,-168.70367,57.59867
krill,-167.03517,57.5215
krill,-172.16966,59.893
krill,-169.853,56.41134
krill,-164.50183,54.94517
krill,-169.06567,58.314
krill,-169.506,57.9095
krill,-173.31267,60.09884
krill,-171.26334,59.9025
krill,-172.79334,60.995
krill,-176.34833,60.99
krill,-164.83884,56.91483
krill,-166.2638,55.24967
krill,-167.8433,57.3485
krill,-166.587,54.01033
krill,-166.5898,56.58683
krill,-160.8837,57.477
krill,-167.3352,56.3465
krill,-165.442,54.36367
krill,-164.9222,55.3885
krill,-160.8018,56.3605
krill,-167.7212,53.6585
krill,-168.3378,54.31617
krill,-163.7318,55.182
krill,-168.365,56.88683
krill,-172.1202,57.71217
krill,-165.023,57.499
krill,-170.9223,59.4395
krill,-168.9857,59.51217
krill,-170.3228,58.94983
krill,-168.9907,59.00817
krill,-170.0883,58.2835
krill,-171.0003,57.99217
