species,lon,lat
krill,-166.57184,54.01017
krill,-165.05966,57.40833
krill,-168.472,57.76917
krill,-160.01067,56.5985
krill,-161.233,56.803
krill,-160.58234,56.13917
krill,-165.00517,54.46283
krill,-163.72717,55.18717
krill,-161.59934,56.11867
krill,-162.02983,56.5745
krill,-162.94983,55.42367
krill,-163.37167,55.86666
krill,-165.82634,54.24383
krill,-162.38483,55.88683
krill,-167.00383,56.49883
krill,-166.98633,56.00033
krill,-169.32683,57.92733
krill,-164.51033,54.94383
krill,-165.29834,55.27333
krill,-165.86566,54.81017
krill,-167.0025,54.44833
krill,-167,55.50283
krill,-169.58234,56.913
krill,-168.87117,56.6445
krill,-173.85417,61.7345
krill,-171.8875,62.19883
krill,-175.96851,62.19833
krill,-170.70784,59.8515
krill,-178.35451,59.89483
krill,-172.72116,59.9875
krill,-168.2825,58.7215
krill,-174.52234,59.90033
krill,-176.06166,59.8965
krill,-169.149,59.9035
krill,-167.75034,59.17367
krill,-170.28767,58.77417
krill,-166.04533,57.01183
krill,-166.96683,57.52983
krill,-166.00816,57.5125
krill,-166.98584,57.00633
krill,-163.86316,56.66516
krill,-173.67267,58.40467
krill,-172.59784,58.319
krill,-164.25333,57.68184
krill,-171.76666,58.09933
krill,-170.66116,57.1365
krill,-171.0125,58.39267
krill,-170.33434,58.053
krill,-171.70383,58.688
krill,-168.51199,58.2735
krill,-176.676,59.531
krill,-178.1695,59.25583
krill,-169.98734,56.39717
krill,-166.00017,55.99983
krill,-167.98367,56.49933
krill,-167.99634,57.0015
krill,-168.99617,56.00566
krill,-166.05566,55.49117
krill,-165.99617,56.5165
krill,-165.9995,58
krill,-167.9995,56.00083
krill,-161.50967,58.01233
krill,-162.79266,56.35883
krill,-173.01184,62.00083
krill,-162.17816,57.32217
krill,-160.33983,57.32417
krill,-174.36383,61.30383
krill,-172.40817,62.68217
krill,-171.69316,59.89983
krill,-173.81934,60.90917
krill,-168.08533,55.42933
krill,-170.39034,59.26417
krill,-165.133,56.89333
krill,-163.28183,57.63433
krill,-173.59367,60.424
krill,-163.80267,57.13083
krill,-167.54083,57.86983
krill,-169.3495,57.47633
krill,-174.37067,58.998
krill,-174.68767,62.41933
