"","Longitude","Latitude"
"39",-171.06917,62.19717
"101",-175.939,62.21517
"152",-167.814,59.454
"196",-172.31084,62.638
"208",-177.72867,61.04567
"231",-163.02251,57.89367
"345",-165.31067,59.4265
"361",-171.01784,56.611
"380",-172.05034,55.69167
"405",-169.3685,55.41
"479",-173.51283,56.664
"500",-170.89684,55.4885
"533",-175.96333,58.88334
"705",-170.16516,55.72917
"726",-172.84866,56.00917
"760",-174.38333,58.51333
"771",-171.31767,55.931
"852",-171.632,55.25633
"926",-172.54617,56.693
"970",-172.11934,56.252
"993",-163.422,58.68283
"1083",-166.64999,59.66483
"1171",-167.79883,57.99267
"1207",-171.64301,58.29483
"1222",-165.99117,57.50617
"1235",-171.29666,62.65633
"1393",-163.82851,56.94383
"1408",-167.69583,55.6365
"1477",-166.8985,55.85
"1565",-179.28301,59.8965
"1678",-177.62683,59.9045
"1797",-171.4605,57.05033
"1852",-175.423,59.23983
"1867",-170.10783,55.17617
"1888",-165.95616,56.976
"1950",-173.53033,62.201
"1975",-174.705,62.42133
"2027",-177.79633,51.87517
"2053",-175.32834,52.165
"2083",-161.2325,56.79833
"2221",-166.23384,54.70867
"2326",-164.142,55.6205
"2427",-164.18517,56.185
"2519",-167.19583,58.37467
"2555",-163.36667,57.41667
"2560",-164.03334,59.3
"2566",-164.18333,57.58333
"2574",-169.32333,59.98717
"2579",-167.10916,57.03167
"2595",-159.03334,57.7
"2626",-161.45334,57.97167
"2647",-175.465,60.62683
"2676",-175.07983,61.3245
"2688",-174.34717,59.70917
"2793",-168.284,58.71684
"2807",-172.58917,62.04967
"2868",-169.554,54.028
"2910",-160.56583,58.15617
"2915",-161.58667,56.13217
"2928",-162.151,57.6755
"2960",-158.05733,57.7545
"3017",-162.188,58.25283
"3106",-158.64317,57.29667
"3153",-161.41,58.48
"3180",-173.65367,60.74417
"3184",-164.68233,54.266
"3269",-160.43433,57.0525
"3273",-162.004,56.57
"3362",-160.00034,56.60833
"3385",-159.4435,57.0645
"3492",-159.87784,57.5085
"3509",-162.24966,55.78333
"3565",-174.63001,52.336
"3655",-163.41383,56.4235
"3708",-168.6685,53.3745
"3831",-165.49733,54.93217
"3876",-166.991,54.45783
"3928",-168.75067,54.9655
"3974",-163.37183,55.86117
"4136",-169.10033,56.64967
"4153",-167.03383,55.00583
"4239",-169.98866,57.53183
"4244",-169.17317,57.20817
"4311",-165.72934,55.71033
"4367",-162.94983,55.429
"4457",-162.4545,57.00033
"4459",-164.95799,55.94483
"4572",-165.96834,58.98583
"4582",-169.94,59.64983
"4598",-178.17816,60.6435
"4629",-172.1525,59.19633
"4649",-174.342,60.2055
"4655",-176.31599,59.318
"4745",-173.74001,61.40933
"4892",-165.31583,56.4195
"4911",-168.00366,59.90083
"4944",-174.37183,61.94667
"4983",-175.19234,59.9015
"5006",-168.48933,61.74967
"5012",-176.40384,59.897
"5063",-166.09883,56.14067
"5211",-167.78467,54.76733
"5377",-170.58833,56.17484
"5395",-170.71533,57.292
"5585",-170.28799,56.85233
"5601",-168.84383,55.87183
"5670",-168.08833,56.10733
"5855",-168.41267,55.42717
"6055",-165.252,57.96867
"6099",-167.08701,60.3405
"6136",-173.0145,58.9755
"6171",-171.4865,61.00717
"6180",-173.48584,58.01933
"6259",-170.00417,60.35567
"6278",-173.3085,57.33367
"6285",-171.12466,58.67467
"6287",-176.97766,61.3415
"6398",-169.8615,61.849
"6447",-174.00034,63.01617
"6522",-168.70367,57.59867
"6602",-167.03517,57.5215
"6749",-172.16966,59.893
"7077",-169.853,56.41134
"7119",-164.50183,54.94517
"7135",-169.06567,58.314
"7317",-169.506,57.9095
"7444",-173.31267,60.09884
"7459",-171.26334,59.9025
"7605",-172.79334,60.995
"7619",-176.34833,60.99
"7948",-164.83884,56.91483
"8151",-166.2638,55.24967
"8191",-167.8433,57.3485
"8210",-166.587,54.01033
"8232",-166.5898,56.58683
"8320",-160.8837,57.477
"8344",-167.3352,56.3465
"8351",-165.442,54.36367
"8385",-164.9222,55.3885
"8478",-160.8018,56.3605
"8591",-167.7212,53.6585
"8611",-168.3378,54.31617
"8642",-163.7318,55.182
"8647",-168.365,56.88683
"8684",-172.1202,57.71217
"8705",-165.023,57.499
"8836",-170.9223,59.4395
"8860",-168.9857,59.51217
"8930",-170.3228,58.94983
"8935",-168.9907,59.00817
"8960",-170.0883,58.2835
"9067",-171.0003,57.99217
