"","Longitude","Latitude"
"75",-166.57184,54.01017
"140",-165.05966,57.40833
"218",-168.472,57.76917
"240",-160.01067,56.5985
"303",-161.233,56.803
"315",-160.58234,56.13917
"346",-165.00517,54.46283
"376",-163.72717,55.18717
"399",-161.59934,56.11867
"428",-162.02983,56.5745
"441",-162.94983,55.42367
"457",-163.37167,55.86666
"547",-165.82634,54.24383
"578",-162.38483,55.88683
"619",-167.00383,56.49883
"624",-166.98633,56.00033
"689",-169.32683,57.92733
"716",-164.51033,54.94383
"736",-165.29834,55.27333
"744",-165.86566,54.81017
"747",-167.0025,54.44833
"895",-167,55.50283
"951",-169.58234,56.913
"966",-168.87117,56.6445
"1024",-173.85417,61.7345
"1040",-171.8875,62.19883
"1062",-175.96851,62.19833
"1066",-170.70784,59.8515
"1124",-178.35451,59.89483
"1158",-172.72116,59.9875
"1192",-168.2825,58.7215
"1214",-174.52234,59.90033
"1220",-176.06166,59.8965
"1243",-169.149,59.9035
"1258",-167.75034,59.17367
"1265",-170.28767,58.77417
"1323",-166.04533,57.01183
"1333",-166.96683,57.52983
"1343",-166.00816,57.5125
"1361",-166.98584,57.00633
"1541",-163.86316,56.66516
"1564",-173.67267,58.40467
"1599",-172.59784,58.319
"1644",-164.25333,57.68184
"1676",-171.76666,58.09933
"1698",-170.66116,57.1365
"1733",-171.0125,58.39267
"1748",-170.33434,58.053
"1783",-171.70383,58.688
"1799",-168.51199,58.2735
"1905",-176.676,59.531
"1965",-178.1695,59.25583
"2063",-169.98734,56.39717
"2095",-166.00017,55.99983
"2097",-167.98367,56.49933
"2105",-167.99634,57.0015
"2111",-168.99617,56.00566
"2134",-166.05566,55.49117
"2137",-165.99617,56.5165
"2140",-165.9995,58
"2173",-167.9995,56.00083
"2182",-161.50967,58.01233
"2189",-162.79266,56.35883
"2205",-173.01184,62.00083
"2207",-162.17816,57.32217
"2254",-160.33983,57.32417
"2263",-174.36383,61.30383
"2271",-172.40817,62.68217
"2295",-171.69316,59.89983
"2313",-173.81934,60.90917
"2374",-168.08533,55.42933
"2387",-170.39034,59.26417
"2474",-165.133,56.89333
"2481",-163.28183,57.63433
"2542",-173.59367,60.424
"2570",-163.80267,57.13083
"2661",-167.54083,57.86983
"2669",-169.3495,57.47633
"2727",-174.37067,58.998
"2743",-174.68767,62.41933
